step 0: train loss 4.1676, val loss 4.1649
iter 113: loss 2.5470, time 28.87ms, mfu 0.05%
iter 114: loss 2.6048, time 28.79ms, mfu 0.05%
iter 115: loss 2.5476, time 29.25ms, mfu 0.04%
iter 116: loss 2.5759, time 27.81ms, mfu 0.05%
iter 117: loss 2.5398, time 27.15ms, mfu 0.05%
iter 118: loss 2.5895, time 28.29ms, mfu 0.05%
iter 119: loss 2.6238, time 28.69ms, mfu 0.05%
iter 120: loss 2.6206, time 28.84ms, mfu 0.05%
iter 121: loss 2.7216, time 28.41ms, mfu 0.04%
iter 122: loss 2.6038, time 27.43ms, mfu 0.05%
iter 123: loss 2.5846, time 27.76ms, mfu 0.05%
iter 124: loss 2.6185, time 28.56ms, mfu 0.05%
iter 125: loss 2.5922, time 27.60ms, mfu 0.05%
iter 126: loss 2.6086, time 27.78ms, mfu 0.05%
iter 127: loss 2.6753, time 28.16ms, mfu 0.05%
iter 128: loss 2.5911, time 27.70ms, mfu 0.05%
iter 129: loss 2.5650, time 27.17ms, mfu 0.05%
iter 130: loss 2.5459, time 25.32ms, mfu 0.05%
iter 131: loss 2.7001, time 25.44ms, mfu 0.05%
iter 132: loss 2.5248, time 25.45ms, mfu 0.05%
iter 133: loss 2.5641, time 25.40ms, mfu 0.05%
iter 134: loss 2.4341, time 24.94ms, mfu 0.05%
iter 135: loss 2.5768, time 25.53ms, mfu 0.05%
iter 136: loss 2.6012, time 25.24ms, mfu 0.05%
iter 137: loss 2.5043, time 25.50ms, mfu 0.05%
iter 138: loss 2.5159, time 26.16ms, mfu 0.05%
iter 139: loss 2.5872, time 25.62ms, mfu 0.05%
iter 140: loss 2.4944, time 25.73ms, mfu 0.05%
iter 141: loss 2.5229, time 26.97ms, mfu 0.05%
iter 142: loss 2.5430, time 25.53ms, mfu 0.05%
iter 143: loss 2.5687, time 25.02ms, mfu 0.05%
iter 144: loss 2.5464, time 26.04ms, mfu 0.05%
iter 145: loss 2.5449, time 26.59ms, mfu 0.05%
iter 146: loss 2.5041, time 26.80ms, mfu 0.05%
iter 147: loss 2.5602, time 28.58ms, mfu 0.05%
iter 148: loss 2.4698, time 26.21ms, mfu 0.05%
iter 149: loss 2.5515, time 27.11ms, mfu 0.05%
iter 150: loss 2.5360, time 26.67ms, mfu 0.05%
iter 151: loss 2.5290, time 27.33ms, mfu 0.05%
iter 152: loss 2.5725, time 28.02ms, mfu 0.05%
iter 153: loss 2.4933, time 28.00ms, mfu 0.05%
iter 154: loss 2.4579, time 27.27ms, mfu 0.05%
iter 155: loss 2.4768, time 27.29ms, mfu 0.05%
iter 156: loss 2.5000, time 26.18ms, mfu 0.05%
iter 157: loss 2.5618, time 26.74ms, mfu 0.05%
iter 158: loss 2.5761, time 27.92ms, mfu 0.05%
iter 159: loss 2.5046, time 27.08ms, mfu 0.05%
iter 160: loss 2.5293, time 27.89ms, mfu 0.05%
iter 161: loss 2.4995, time 26.13ms, mfu 0.05%
iter 162: loss 2.4577, time 27.31ms, mfu 0.05%
iter 163: loss 2.4998, time 27.04ms, mfu 0.05%
iter 164: loss 2.5111, time 26.06ms, mfu 0.05%
iter 165: loss 2.6268, time 25.41ms, mfu 0.05%
iter 166: loss 2.5130, time 26.02ms, mfu 0.05%
iter 167: loss 2.4668, time 25.66ms, mfu 0.05%
iter 168: loss 2.5482, time 27.78ms, mfu 0.05%
iter 169: loss 2.4939, time 26.25ms, mfu 0.05%
iter 170: loss 2.4728, time 26.07ms, mfu 0.05%
iter 171: loss 2.3852, time 25.97ms, mfu 0.05%
iter 172: loss 2.5197, time 25.45ms, mfu 0.05%
iter 173: loss 2.5215, time 25.95ms, mfu 0.05%
iter 174: loss 2.4674, time 25.48ms, mfu 0.05%
iter 175: loss 2.4651, time 25.45ms, mfu 0.05%
iter 176: loss 2.4536, time 25.86ms, mfu 0.05%
iter 177: loss 2.4905, time 27.17ms, mfu 0.05%
iter 178: loss 2.4806, time 27.97ms, mfu 0.05%
iter 179: loss 2.6162, time 27.61ms, mfu 0.05%
